0.00E+00	1.00E+00	0
2.04E-01	1.962685	0.205047
4.08E-01	2.612345	0.403361
6.12E-01	2.970041	0.624258
8.16E-01	3.18634	0.8215
1.02E+00	3.029199	0.99581
1.22E+00	2.799291	1.20419
1.43E+00	2.40856	1.336543
1.63E+00	2.342037	1.290237
1.84E+00	2.193156	1.196404
2.04E+00	2.194612	1.13995
2.24E+00	2.245943	1.117297
2.45E+00	2.475784	1.040926
2.65E+00	2.637988	1.058731
2.86E+00	2.546694	1.069943
3.06E+00	2.366282	1.084762
3.27E+00	2.56443	1.119006
3.47E+00	2.490383	1.12874
3.67E+00	2.314314	1.085126
3.88E+00	2.470806	1.092007
4.08E+00	2.525971	1.071179
4.29E+00	2.314367	1.109151
4.49E+00	2.450344	1.161648
4.69E+00	2.497289	1.099204
4.90E+00	2.56187	1.122668
5.10E+00	2.508502	1.130771
5.31E+00	2.506269	1.101824
5.51E+00	2.479402	1.102894
5.71E+00	2.513755	1.065668
5.92E+00	2.38772	1.119412
6.12E+00	2.50141	1.06739
6.33E+00	2.494946	1.081715
6.53E+00	2.635857	1.134656
6.73E+00	2.429138	1.125678
6.94E+00	2.558705	1.114561
7.14E+00	2.376262	1.127196
7.35E+00	2.617709	1.080826
7.55E+00	2.38074	1.112312
7.76E+00	2.457088	1.090615
7.96E+00	2.564538	1.110345
8.16E+00	2.441334	1.147894
8.37E+00	2.523178	1.120656
8.57E+00	2.540809	1.170147
8.78E+00	2.473162	1.102034
8.98E+00	2.39973	1.103599
9.18E+00	2.448308	1.066108
9.39E+00	2.45107	1.10646
9.59E+00	2.426818	1.098612
9.80E+00	2.412271	1.126728
1.00E+01	2.668192	1.096229
