time	A	E	AE	
0.0	5.0	3.0	0.0	
0.05	4.78479472169	2.76358568758	0.236414312415	
0.1	4.59740136364	2.57203368978	0.427966310224	
0.15	4.43204386888	2.41635461526	0.58364538474	
0.2	4.2843621301	2.28960771698	0.710392283018	
0.25	4.15101744819	2.18636553405	0.813634465953	
0.3	4.02942087775	2.10233677206	0.897663227938	
0.35	3.91754387704	2.03409780007	0.965902199931	
0.4	3.81378270644	1.97889666293	1.02110333707	
0.45	3.71685760235	1.93450299424	1.06549700576	
0.5	3.6257386222	1.89909561442	1.10090438558	
0.55	3.53959559979	1.8711869723	1.1288130277	
0.6	3.45775649727	1.84955801939	1.15044198061	
0.65	3.37966654022	1.83319017098	1.16680982902	
0.7	3.30487736418	1.82125234926	1.17874765074	
0.75	3.2330116876	1.81303699844	1.18696300156	
0.8	3.16376360772	1.80796704028	1.19203295972	
0.85	3.09687730576	1.80555904026	1.19444095974	
0.9	3.03214084509	1.80539910377	1.19460089623	
0.95	2.96937307787	1.8071408106	1.1928591894	
1.0	2.90842679511	1.81049833777	1.18950166223	
1.05	2.84917384194	1.81522394677	1.18477605323	
1.1	2.79150879374	1.82111256882	1.17888743118	
1.15	2.73533946113	1.82798530279	1.17201469721	
1.2	2.68058810886	1.83569177268	1.16430822732	
1.25	2.62718829676	1.84410438701	1.15589561299	
1.3	2.57508192385	1.8531126851	1.1468873149	
1.35	2.52421944428	1.86262373661	1.13737626339	
1.4	2.4745559635	1.87255456553	1.12744543447	
1.45	2.42605318635	1.88283615745	1.11716384255	
1.5	2.37867787513	1.8934110265	1.1065889735	
1.55	2.33239999656	1.90422853364	1.09577146636	
1.6	2.28719024291	1.91523971939	1.08476028061	
1.65	2.24302388856	1.92640643137	1.07359356863	
1.7	2.19987967727	1.93769889237	1.06230110763	
1.75	2.1577353401	1.94908497769	1.05091502231	
1.8	2.11656955042	1.96053497811	1.03946502189	
1.85	2.07636414742	1.97202736535	1.02797263465	
1.9	2.03710192729	1.98354319112	1.01645680888	
1.95	1.99876481606	1.99506166587	1.00493833413	
2.0	1.96133647775	2.00656676968	0.993433230316	
2.05	1.92480254094	2.01804798794	0.981952012056	
2.1	1.88914729779	2.02949165742	0.970508342575	
2.15	1.85435414484	2.04088220267	0.959117797332	
2.2	1.82040905463	2.05221154522	0.947788454776	
2.25	1.78729817768	2.06347193251	0.936528067485	
2.3	1.75500739626	2.07465500385	0.925344996147	
2.35	1.72352244525	2.08575358841	0.914246411592	
2.4	1.69282909811	2.09676020389	0.903239796114	
2.45	1.66291319263	2.10766746821	0.892332531791	
2.5	1.63376092091	2.11847022692	0.881529773083	
2.55	1.60535837684	2.12916270804	0.870837291964	
2.6	1.57769167335	2.13973919509	0.860260804913	
2.65	1.55074744363	2.15019674778	0.849803252223	
2.7	1.52451216881	2.16053161443	0.839468385567	
2.75	1.4989722952	2.17073988655	0.829260113454	
2.8	1.47411450706	2.18081913513	0.819180864874	
2.85	1.44992541562	2.19076647703	0.809233522974	
2.9	1.42639161258	2.20057892396	0.799421076045	
2.95	1.40349975706	2.21025401734	0.789745982664	
3.0	1.38123648653	2.21978912838	0.780210871623	
3.05	1.35958851481	2.22918182053	0.770818179469	
3.1	1.33854309591	2.23843128816	0.761568711845	
3.15	1.31808730265	2.24753617862	0.75246382138	
3.2	1.29820814768	2.2564949576	0.743505042396	
3.25	1.27889264367	2.26530609079	0.734693909212	
3.3	1.26012823456	2.27396887412	0.72603112588	
3.35	1.24190292402	2.28248368095	0.717516319047	
3.4	1.22420418511	2.29084986326	0.709150136736	
3.45	1.20701948032	2.29906675268	0.700933247321	
3.5	1.19033629986	2.30713371214	0.692866287862	
3.55	1.17414317129	2.31505127722	0.684948722784	
3.6	1.15842853048	2.32281987982	0.677180120182	
3.65	1.14318042562	2.33043951365	0.669560486353	
3.7	1.12838690492	2.33791017241	0.662089827592	
3.75	1.11403628269	2.34523206982	0.654767930184	
3.8	1.1001182545	2.35240656161	0.64759343839	
3.85	1.08662175925	2.3594343779	0.640565622104	
3.9	1.07353556975	2.36631611148	0.633683888523	
3.95	1.06084845881	2.37305235516	0.626947644842	
4.0	1.04855003553	2.37964422011	0.620355779886	
4.05	1.03663084853	2.38609339988	0.613906600124	
4.1	1.02508050052	2.39240100165	0.607598998347	
4.15	1.01388858145	2.39856812476	0.601431875242	
4.2	1.0030447341	2.4045958917	0.595404108301	
4.25	0.992540164484	2.41048611161	0.589513888394	
4.3	0.982365861541	2.41624049826	0.583759501739	
4.35	0.972512278326	2.42186053007	0.578139469927	
4.4	0.962969867896	2.42734768545	0.572652314548	
4.45	0.95372944115	2.43270355394	0.56729644606	
4.5	0.944783466284	2.43793023979	0.562069760206	
4.55	0.936123457323	2.44302955093	0.55697044907	
4.6	0.927740748558	2.44800323944	0.551996760555	
4.65	0.919626674278	2.45285305743	0.547146942567	
4.7	0.911773521401	2.45758095762	0.542419042377	
4.75	0.90417449341	2.46218908578	0.537810914217	
4.8	0.896821806381	2.46667937972	0.533320620279	
4.85	0.889707668293	2.47105377554	0.528946224458	
4.9	0.882824351975	2.47531421709	0.524685782906	
4.95	0.876165687133	2.47946283419	0.520537165807	
5.0	0.869725214815	2.48350172218	0.516498277824	
5.05	0.863495986161	2.48743291786	0.51256708214	
5.1	0.85747105231	2.49125845806	0.508741541937	
5.15	0.851643820546	2.49498039289	0.505019607109	
5.2	0.84600917175	2.49860082744	0.501399172557	
5.25	0.840561097311	2.50212183362	0.497878166376	
5.3	0.835293445115	2.50554547798	0.494454522018	
